id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
1757,1729,1729,2008/2009,11,10194,9825,2,1,8,4.5,1.4,7.5,4,1.4,6,3.9,1.45,8,3.75,1.36,8,4.5,1.4,8,4.8,1.4
1758,1729,1729,2008/2009,11,8455,8472,5,0,1.17,6.5,21,1.15,6,16,1.22,5,10,1.22,5,10,1.2,6,15,1.2,6.7,15
1759,1729,1729,2008/2009,12,9825,10260,2,1,3.25,3.25,2.3,2.8,3.15,2.35,2.9,3,2.3,3,3.2,2.38,3.1,3.1,2.4,3.25,3.2,2.35
1760,1729,1729,2008/2009,12,8650,8659,3,0,1.2,6,19,1.17,6,13,1.2,5.2,11,1.22,6,13,1.22,5.5,15,1.22,5.5,17
1761,1729,1729,2008/2009,12,8472,8462,1,2,2.38,3.3,3,2.35,3.15,2.8,2.2,3.1,3,2.38,3.25,3,2.3,3.3,3.1,2.3,3.25,3.3
1762,1729,1729,2008/2009,12,8654,8668,1,3,2.6,3.25,2.8,2.4,3.15,2.75,2.4,3.1,2.7,2.5,3.3,2.8,2.5,3.3,2.8,2.5,3.3,2.9
1763,1729,1729,2008/2009,12,10252,8549,1,2,1.7,3.8,5,1.65,3.4,5,1.7,3.4,4.3,1.73,3.5,5,1.67,3.8,5,1.7,3.75,5
1764,1729,1729,2008/2009,12,8456,8586,1,2,2.25,3.3,3.3,2.05,3.2,3.3,2.3,3.1,2.8,2.2,3.3,3.3,2.15,3.3,3.4,2.25,3.25,3.4
1765,1729,1729,2008/2009,12,8655,8455,0,2,8,4.33,1.44,7,3.75,1.45,6,3.6,1.5,8,3.6,1.5,7.5,4.2,1.44,6.5,4.4,1.5
1766,1729,1729,2008/2009,12,9879,10261,2,1,2.38,3.25,3.1,2.25,3.15,2.95,2.2,3.1,3,2.38,3.25,3,2.38,3.25,3,2.3,3.25,3.2
